                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
2011  268  84558171       8.33       5.41      -6.04      -0.74      368.6       10.8    2.84773      1.605    0.27366
2011  269   1800235       7.06       3.81      -5.29       1.59      361.2       13.0    3.28073      0.455    0.00000
2011  269   5430734       6.71       2.65      -4.25       3.71      352.2       13.3    3.19416      0.092    0.00000
2011  269   8955310       6.54       3.56      -4.33       2.46      351.0       14.9    3.55968      0.192    0.00000
2011  269  12584425       6.34       1.71      -4.91       2.52      349.4       13.9    3.30073      0.207    0.00000
2011  269  16211870       6.44       3.06      -3.21       3.31      348.0       13.4    3.14991      0.057    0.00000
2011  269  19836248       6.64      -1.10      -1.64       5.21      346.8       13.2    3.07416      0.002    0.00000
2011  269  23368636       5.90       2.99      -3.89       2.76      341.6       14.1    3.18109      0.105    0.00000
2011  269  26993015       5.94       4.97      -3.01       0.29      333.1       15.5    3.34068      0.480    0.00000
2011  269  30629519       6.16       5.67      -1.96      -1.01      328.5       14.2    2.97938      1.321    0.33207
2011  269  34161859       6.12       5.49      -1.99      -1.52      331.2       13.6    2.88590      1.595    0.50188
2011  269  37786398       6.87       5.66      -3.23      -1.32      333.5       14.4    3.11491      1.492    0.44141
2011  269  41412128      13.11       5.33      -5.49      -1.94      364.3       16.7    4.30937      5.556    0.70851
2011  269  52201082      19.74     -10.49      11.56      -6.56      546.6       27.6   16.00962     23.666    3.58621
2011  269  55838519      26.70      -4.95      17.75     -15.58      581.3        7.5    4.90264     56.896    9.05733
2011  269  59370226      32.89      -3.01      27.76       6.70      567.5        8.5    5.29322     17.916    0.00000
2011  269  62990011      34.20     -12.30      19.37     -24.70      609.6        3.3    2.39767    113.436   15.05482
2011  269  66620460      28.80      -9.23      17.60     -15.83      631.9        9.4    7.30007     72.743   10.00502
2011  269  70244835      14.30      -2.01      -3.34      -7.69      658.2       25.8   21.67759     24.658    5.05901
2011  269  77429109      12.85     -11.64      -0.84      -4.92      669.9        3.9    3.42943     21.746    3.29736
2011  269  81012046      12.41     -11.72       1.06      -3.62      661.3        3.0    2.57228     19.477    2.39582
2011  269  84639460      10.26      -9.00      -3.59      -1.13      682.3        2.7    2.46820      6.054    0.77104
2011  270   1840977       7.54      -4.89       1.91      -1.05      683.0        5.7    5.18202      4.237    0.71432
2011  270   5357894       6.59      -2.15       3.22      -0.89      669.4       10.3    8.98353      2.326    0.59731
2011  270   8985322       5.80      -2.79       0.35       0.43      669.0       10.1    8.80013      0.054    0.00000
2011  270  12598270       7.99      -4.93      -5.80       1.83      649.1        2.2    1.78180      1.009    0.00000
2011  270  16228066       7.76      -6.52      -3.77       1.35      633.7        1.7    1.29469      0.833    0.00000
2011  270  23394037       5.69      -4.41       0.81      -1.86      638.1        7.1    5.62576      3.783    1.18934
2011  270  27019814       5.21      -3.42       2.38      -0.55      618.0        9.6    7.10962      1.258    0.34142
2011  270  34174378       6.93      -6.51       1.25      -0.48      606.5        1.6    1.14827      2.680    0.29260
2011  270  37791921       7.49      -7.04       1.49      -1.38      569.7        3.4    2.14265      4.499    0.78894
2011  270  41413066       7.64      -6.68       2.83      -2.10      601.4        2.6    1.82431      4.454    1.26084
2011  270  45034386       7.15      -5.97       2.60      -2.52      595.4        2.4    1.64971      4.369    1.50197
2011  270  48562222       6.90      -3.03      -1.79       1.19      608.7        5.0    3.57595      0.289    0.00000
2011  270  52198878       7.22      -1.22      -5.40       4.60      578.9        4.9    3.15848      0.186    0.00000
2011  270  55817277       6.73      -2.76      -3.42       3.69      562.7        5.3    3.25844      0.091    0.00000
2011  270  59444589       7.46      -6.90       1.28       1.67      557.5        1.7    1.03454      0.066    0.00000
2011  270  62975457       6.74      -3.61      -1.52       2.43      570.2        5.8    3.68584      0.030    0.00000
2011  270  66601375       6.75      -4.12       4.19       0.15      569.2        5.4    3.38833      1.202    0.00000
2011  270  70224382       6.70      -4.15       2.85       0.62      560.5       10.4    6.35508      0.779    0.00000
2011  270  73755249       5.93      -3.13       2.66      -0.67      566.9       19.1   11.90988      1.537    0.37805
2011  270  77387125       4.40       0.19       2.61      -0.70      545.4       19.4   11.19810      0.832    0.38003
2011  270  81019359       4.94      -4.26       2.06      -0.29      528.3       15.7    8.52788      0.834    0.15436
2011  271   1777500       3.07      -1.63       1.16      -1.24      512.7       12.8    6.52729      0.719    0.63552
2011  271   5403384       3.10       0.80       0.55      -2.60      514.7        9.5    4.89818      0.966    1.33638
2011  271   9029408       4.42       0.01       1.05      -4.09      503.0       18.1    8.86386      1.902    2.05661
2011  271  12557188       4.60      -1.77       1.69      -3.19      495.9       16.1    7.67336      1.859    1.58139
2011  271  16196758       6.40      -3.62       3.95      -2.29      506.6       10.5    5.22533      2.334    1.16227
2011  271  19833375       6.23      -1.41       1.48      -2.08      508.5        6.6    3.29819      3.240    1.05788
2011  271  23355072       4.63      -0.63      -2.54      -3.34      513.2       10.4    5.30332      1.769    1.71253
2011  271  26977929       5.78      -3.43      -2.77      -3.65      505.3        5.6    2.74987      2.710    1.84310
2011  271  30600078       5.35      -3.48      -2.08      -3.43      497.1        5.9    2.84221      2.439    1.70402
2011  271  34218316       4.45      -2.81      -1.73      -2.66      492.6       10.1    4.75890      1.642    1.31049
2011  271  41381218       4.73      -2.73      -2.28      -2.73      493.6        4.2    1.98558      1.718    1.34809
2011  271  45010921       4.28      -2.07      -2.34      -2.65      486.3        8.2    3.78484      1.362    1.28913
2011  271  48632246       4.27      -2.96      -1.11      -2.69      470.9        6.8    2.90994      1.587    1.26867
2011  271  55789214       3.45      -1.51      -2.55      -0.44      462.2        2.0    0.80971      0.375    0.20284
2011  271  59409726       4.28      -2.61      -3.06      -0.82      435.1        1.9    0.69655      0.632    0.35827
2011  271  63038703       4.29      -3.30      -2.56      -0.62      431.5        1.9    0.67746      0.607    0.26956
