                       Wind MFI and SWE Data, 1 hour resolution, GSM coordinates
Year  DOY  millisecs       B          Bx         By         Bz         V          Np        Psw      Epsilon      VBs    
                           nT         nT         nT         nT        km/s       cm^3       nPa      10^11 W      mV/m   
2011  216  84587968       9.13       6.21      -3.73      -3.86      425.5        5.3    1.85196      5.227    1.64367
2011  217   1822651       7.28       3.47      -5.92      -0.76      419.2        5.3    1.80605      1.407    0.31771
2011  217   5442292       6.96       3.64      -5.08      -1.43      409.4        4.9    1.60050      1.593    0.58358
2011  217   8975803       6.30       4.97      -2.37      -2.76      417.1        4.8    1.61160      2.547    1.14925
2011  217  12600713       5.34       2.37      -2.85       0.61      411.7        6.2    2.03491      0.367    0.00000
2011  217  16233985       4.94       0.27      -4.27       1.74      396.4        5.9    1.79389      0.187    0.00000
2011  217  19771347       5.30      -3.34      -2.14       3.03      414.6        4.3    1.42760      0.020    0.00000
2011  217  23389283       5.15      -4.40      -0.93       2.20      427.8        4.3    1.51926      0.003    0.00000
2011  217  27014937       4.75      -4.40       1.08       1.17      424.5        3.9    1.35494      0.034    0.00000
2011  217  30643630       5.10      -4.69       0.96       1.30      426.8        4.1    1.45739      0.021    0.00000
2011  217  34177453       5.68      -5.35       1.33       1.13      428.2        3.1    1.11715      0.085    0.00000
2011  217  37806011       5.83      -5.38       2.07       0.79      427.9        3.5    1.25872      0.298    0.00000
2011  217  41427042       5.68      -5.34       1.53       1.08      416.8        3.1    1.03065      0.119    0.00000
2011  217  44963761       5.41      -4.89       0.79       1.84      432.8        2.9    1.05813      0.004    0.00000
2011  217  48595667       4.61      -4.15       0.92       1.27      428.0        3.7    1.32914      0.016    0.00000
2011  217  52225761       3.77      -1.65      -1.54       0.55      407.7        3.9    1.26012      0.128    0.00000
2011  217  59377382       3.77       2.02      -3.11       0.34      398.7        3.4    1.05654      0.224    0.00000
2011  217  63007757       6.01       2.57      -4.95      -0.13      420.2        5.4    1.86171      0.798    0.05583
2011  217  66631867      17.35       5.10       7.77      -4.66      490.5       19.8    9.22097     16.876    2.28367
2011  217  70168437      26.54       8.06      13.78      -6.10      645.4        8.9    7.19393     44.697    3.93451
